source name	characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[disease]	characteristics[cell type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	characteristics[medium]	characteristics[temperature]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[label]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]
Bulk	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	not applicable	Prokaryotic cell	bulk control	not applicable	not applicable	not applicable	1	LB medium, then Terrific Broth	37°C	run 0	Proteomic profiling by mass spectrometry	1	bulk	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221215_HF2_01_Ecoli_bulk22127_FToP_TM6.raw	1	Label free sample	not applicable	not applicable	NT=Q Exactive HF	NT=Trypsin;AC=1001251	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	34% NCE	Not applicable	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221215_HF2_01_Ecoli_bulk22127_FToP_TM6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
Run1_cell1	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	not applicable	Prokaryotic cell	single cell	FACS	Run1_cell1	1	2	LB medium, then Terrific Broth	37°C	run 1	Proteomic profiling by mass spectrometry	1	Exp1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_01_RZ_SBP_Exp1.raw	1	Label free sample	not available	not available	Orbitrap Eclipse	NT=Trypsin;AC=1001251	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35% NCE	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
Run1_cell2	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	not applicable	Prokaryotic cell	single cell	FACS	Run1_cell2	1	3	LB medium, then Terrific Broth	37°C	run 1	Proteomic profiling by mass spectrometry	1	Exp1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_01_RZ_SBP_Exp1.raw	1	Label free sample	not available	not available	Orbitrap Eclipse	NT=Trypsin;AC=1001251	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35% NCE	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
Run1_cell3	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	not applicable	Prokaryotic cell	single cell	FACS	Run1_cell3	1	4	LB medium, then Terrific Broth	37°C	run 1	Proteomic profiling by mass spectrometry	1	Exp1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_01_RZ_SBP_Exp1.raw	1	Label free sample	not available	not available	Orbitrap Eclipse	NT=Trypsin;AC=1001251	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35% NCE	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
Run1_cell4_and_5	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	not applicable	Prokaryotic cell	pooled	FACS	Run1_cell4_and_5	2	5	LB medium, then Terrific Broth	37°C	run 1	Proteomic profiling by mass spectrometry	1	Exp1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_01_RZ_SBP_Exp1.raw	1	Label free sample	not available	not available	Orbitrap Eclipse	NT=Trypsin;AC=1001251	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35% NCE	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
Run1_cell6_and_7	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	not applicable	Prokaryotic cell	pooled	FACS	Run1_cell6_and_7	2	6	LB medium, then Terrific Broth	37°C	run 1	Proteomic profiling by mass spectrometry	1	Exp1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_01_RZ_SBP_Exp1.raw	1	Label free sample	not available	not available	Orbitrap Eclipse	NT=Trypsin;AC=1001251	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35% NCE	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
Run1_cell8_and_9	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	not applicable	Prokaryotic cell	pooled	FACS	Run1_cell8_and_9	2	7	LB medium, then Terrific Broth	37°C	run 1	Proteomic profiling by mass spectrometry	1	Exp1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_01_RZ_SBP_Exp1.raw	1	Label free sample	not available	not available	Orbitrap Eclipse	NT=Trypsin;AC=1001251	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35% NCE	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
Run1_carrier_cells_1	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	not applicable	Prokaryotic cell	carrier	FACS	carrier	250	8	LB medium, then Terrific Broth	37°C	run 1	Proteomic profiling by mass spectrometry	1	Exp1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_01_RZ_SBP_Exp1.raw	1	Label free sample	not available	not available	Orbitrap Eclipse	NT=Trypsin;AC=1001251	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35% NCE	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
Run1_carrier_cells_2	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	not applicable	Prokaryotic cell	carrier	FACS	carrier	250	9	LB medium, then Terrific Broth	37°C	run 1	Proteomic profiling by mass spectrometry	1	Exp1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_01_RZ_SBP_Exp1.raw	1	Label free sample	not available	not available	Orbitrap Eclipse	NT=Trypsin;AC=1001251	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35% NCE	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
Run2_cell1	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	not applicable	Prokaryotic cell	single cell	FACS	Run2_cell1	1	10	LB medium, then Terrific Broth	37°C	run 2	Proteomic profiling by mass spectrometry	1	Exp2	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_02_RZ_SBP_Exp2.raw	1	Label free sample	not available	not available	Orbitrap Eclipse	NT=Trypsin;AC=1001251	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35% NCE	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
Run2_cell2	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	not applicable	Prokaryotic cell	single cell	FACS	Run2_cell2	1	11	LB medium, then Terrific Broth	37°C	run 2	Proteomic profiling by mass spectrometry	1	Exp2	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_02_RZ_SBP_Exp2.raw	1	Label free sample	not available	not available	Orbitrap Eclipse	NT=Trypsin;AC=1001251	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35% NCE	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
Run2_cell3	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	not applicable	Prokaryotic cell	single cell	FACS	Run2_cell3	1	12	LB medium, then Terrific Broth	37°C	run 2	Proteomic profiling by mass spectrometry	1	Exp2	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_02_RZ_SBP_Exp2.raw	1	Label free sample	not available	not available	Orbitrap Eclipse	NT=Trypsin;AC=1001251	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35% NCE	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
Run2_cell4_and_5	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	not applicable	Prokaryotic cell	pooled	FACS	Run2_cell4_and_5	2	13	LB medium, then Terrific Broth	37°C	run 2	Proteomic profiling by mass spectrometry	1	Exp2	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_02_RZ_SBP_Exp2.raw	1	Label free sample	not available	not available	Orbitrap Eclipse	NT=Trypsin;AC=1001251	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35% NCE	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
Run2_cell6_and_7	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	not applicable	Prokaryotic cell	pooled	FACS	Run2_cell6_and_7	2	14	LB medium, then Terrific Broth	37°C	run 2	Proteomic profiling by mass spectrometry	1	Exp2	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_02_RZ_SBP_Exp2.raw	1	Label free sample	not available	not available	Orbitrap Eclipse	NT=Trypsin;AC=1001251	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35% NCE	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
Run2_cell8_and_9	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	not applicable	Prokaryotic cell	pooled	FACS	Run2_cell8_and_9	2	15	LB medium, then Terrific Broth	37°C	run 2	Proteomic profiling by mass spectrometry	1	Exp2	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_01_RZ_SBP_Exp2.raw	1	Label free sample	not available	not available	Orbitrap Eclipse	NT=Trypsin;AC=1001251	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35% NCE	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
Run2_carrier_cells_1	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	not applicable	Prokaryotic cell	carrier	FACS	carrier	250	16	LB medium, then Terrific Broth	37°C	run 2	Proteomic profiling by mass spectrometry	1	Exp2	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_01_RZ_SBP_Exp2.raw	1	Label free sample	not available	not available	Orbitrap Eclipse	NT=Trypsin;AC=1001251	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35% NCE	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
Run2_carrier_cells_2	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	not applicable	Prokaryotic cell	carrier	FACS	carrier	250	17	LB medium, then Terrific Broth	37°C	run 2	Proteomic profiling by mass spectrometry	1	Exp2	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_01_RZ_SBP_Exp2.raw	1	Label free sample	not available	not available	Orbitrap Eclipse	NT=Trypsin;AC=1001251	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35% NCE	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
Run3_cell1	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	not applicable	Prokaryotic cell	single cell	FACS	Run3_cell1	1	18	LB medium, then Terrific Broth	37°C	run 3	Proteomic profiling by mass spectrometry	1	Exp3	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_03_RZ_SBP_Exp3.raw	1	Label free sample	not available	not available	Orbitrap Eclipse	NT=Trypsin;AC=1001251	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35% NCE	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
Run3_cell2	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	not applicable	Prokaryotic cell	single cell	FACS	Run3_cell2	1	19	LB medium, then Terrific Broth	37°C	run 3	Proteomic profiling by mass spectrometry	1	Exp3	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_03_RZ_SBP_Exp3.raw	1	Label free sample	not available	not available	Orbitrap Eclipse	NT=Trypsin;AC=1001251	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35% NCE	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
Run3_cell3	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	not applicable	Prokaryotic cell	single cell	FACS	Run3_cell3	1	20	LB medium, then Terrific Broth	37°C	run 3	Proteomic profiling by mass spectrometry	1	Exp3	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_03_RZ_SBP_Exp3.raw	1	Label free sample	not available	not available	Orbitrap Eclipse	NT=Trypsin;AC=1001251	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35% NCE	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
Run3_cell4_and_5	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	not applicable	Prokaryotic cell	pooled	FACS	Run3_cell4_and_5	2	21	LB medium, then Terrific Broth	37°C	run 3	Proteomic profiling by mass spectrometry	1	Exp3	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_03_RZ_SBP_Exp3.raw	1	Label free sample	not available	not available	Orbitrap Eclipse	NT=Trypsin;AC=1001251	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35% NCE	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
Run3_cell6_and_7	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	not applicable	Prokaryotic cell	pooled	FACS	Run3_cell6_and_7	2	22	LB medium, then Terrific Broth	37°C	run 3	Proteomic profiling by mass spectrometry	1	Exp3	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_03_RZ_SBP_Exp3.raw	1	Label free sample	not available	not available	Orbitrap Eclipse	NT=Trypsin;AC=1001251	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35% NCE	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
Run3_cell8_and_9	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	not applicable	Prokaryotic cell	pooled	FACS	Run3_cell8_and_9	2	23	LB medium, then Terrific Broth	37°C	run 3	Proteomic profiling by mass spectrometry	1	Exp3	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_03_RZ_SBP_Exp3.raw	1	Label free sample	not available	not available	Orbitrap Eclipse	NT=Trypsin;AC=1001251	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35% NCE	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
Run3_carrier_cells_1	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	not applicable	Prokaryotic cell	carrier	FACS	carrier	250	24	LB medium, then Terrific Broth	37°C	run 3	Proteomic profiling by mass spectrometry	1	Exp3	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_03_RZ_SBP_Exp3.raw	1	Label free sample	not available	not available	Orbitrap Eclipse	NT=Trypsin;AC=1001251	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35% NCE	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
