accession	action	sdrf_path	title	evidence_terms	pride_queries	organisms	organism_parts	diseases	instruments	experiment_types	quantification_methods	file_count	draft_row_count	pride_pubmed_ids	pride_dois	europepmc_hit_count	europepmc_first_pmid	europepmc_first_doi	europepmc_first_title	pride_url
PXD000902	sandbox_draft	sandbox/PXD000902/PXD000902.sdrf.tsv	Global absolute quantification reveals tight regulation of protein expression in single Xenopus eggs	single-cell proteomics;single-cell proteome;single oocyte/egg proteomics	single Xenopus eggs;single cell proteome;single cell proteomics;single-cell proteome;single-cell proteomic;single-cell proteomics	Xenopus laevis (african clawed frog)	Embryo; Egg		LTQ Orbitrap Velos; Q Exactive	Shotgun proteomics	Copies per cell; MS1 intensity based label-free quantification method	68	64	25056316		1	25056316	10.1093/nar/gku661	Global absolute quantification reveals tight regulation of protein expression in single Xenopus eggs.	https://www.ebi.ac.uk/pride/archive/projects/PXD000902
PXD003121	sandbox_draft	sandbox/PXD003121/PXD003121.sdrf.tsv	Human oocytes -  Identification of Maturation-Specific Proteins by Single-Cell Proteomics of Human Oocytes	single-cell proteomics	single cell proteomics;single-cell proteomic;single-cell proteomics	Homo sapiens (human)	Oocyte; Oocyte		LTQ Orbitrap Velos	Shotgun proteomics		26	21	27215607	10.1074/mcp.M115.056887	0				https://www.ebi.ac.uk/pride/archive/projects/PXD003121
PXD006905	sandbox_draft	sandbox/PXD006905/PXD006905.sdrf.tsv	Single-cell Proteomics of Developing Cells in Live Vertebrate Embryos by Microprobe High-Resolution Mass Spectrometry	single-cell proteomics	single cell proteomics;single-cell proteomic;single-cell proteomics	Danio rerio (zebrafish) (brachydanio rerio); Xenopus laevis (african clawed frog)	Embryo; Stem cell		Q Exactive Plus	Shotgun proteomics	Label free	96	94	30827088	10.1021/acs.analchem.9b00345	1	30827088	10.1021/acs.analchem.9b00345	Microsampling Capillary Electrophoresis Mass Spectrometry Enables Single-Cell Proteomics in Complex Tissues: Developing Cell Clones in Live Xenopus laevis and Zebrafish Embryos.	https://www.ebi.ac.uk/pride/archive/projects/PXD006905
PXD012101	sandbox_draft	sandbox/PXD012101/PXD012101.sdrf.tsv	Development of a sensitive, scalable method for spatial, cell-type-resolved proteomics of the human brain	single-cell proteome	single cell proteome;single-cell proteome	Homo sapiens (human)	Brain		Orbitrap Fusion Lumos	Shotgun proteomics	MS1 intensity based label-free quantification method	77	76	30768908	10.1021/acs.jproteome.8b00981	1	30768908	10.1021/acs.jproteome.8b00981	Development of a Sensitive, Scalable Method for Spatial, Cell-Type-Resolved Proteomics of the Human Brain.	https://www.ebi.ac.uk/pride/archive/projects/PXD012101
PXD014256	sandbox_draft	sandbox/PXD014256/PXD014256.sdrf.tsv	Embryonic day 15 chick utricle single cell analysis	single-cell proteomics;nanoPOTS	single cell proteomics;single-cell proteomic;single-cell proteomics	Gallus gallus (chicken)	Ear hair cell; Inner ear; Vestibular hair cell; Inner ear vestibulum		LTQ Orbitrap Elite	Shotgun proteomics		63	61	31682227	10.7554/eLife.50777	2	34373457	10.1038/s41467-021-25077-6	IceR improves proteome coverage and data completeness in global and single-cell proteomics.	https://www.ebi.ac.uk/pride/archive/projects/PXD014256
PXD015058	sandbox_draft	sandbox/PXD015058/PXD015058.sdrf.tsv	Reality of Near-Single-Cell Proteomic Interrogation of the Human Kidney	single-cell proteomics;near-single-cell proteomics	near-single-cell proteomics;single cell proteomics;single-cell proteomic;single-cell proteomics	Homo sapiens (human)	Kidney		Q Exactive	Shotgun proteomics		120	48	33072769	10.3389/fmed.2020.00499	1	33072769	10.3389/fmed.2020.00499	Near-Single-Cell Proteomics Profiling of the Proximal Tubular and Glomerulus of the Normal Human Kidney.	https://www.ebi.ac.uk/pride/archive/projects/PXD015058
PXD016573	sandbox_draft	sandbox/PXD016573/PXD016573.sdrf.tsv	Single Cell Proteomics and the Carrier Proteome Effect	single-cell proteomics;single-cell proteome;SCoPE-MS;carrier proteome SCP	SCoPE-MS;single cell proteome;single cell proteomics;single-cell proteome;single-cell proteomic;single-cell proteomics	Homo sapiens (human)	Cell culture		Orbitrap Fusion Lumos	Shotgun proteomics	TMT	141	138	33288958	10.1038/s41592-020-01002-5	0				https://www.ebi.ac.uk/pride/archive/projects/PXD016573
PXD016921	sandbox_draft	sandbox/PXD016921/PXD016921.sdrf.tsv	Improved Single Cell Proteome Coverage Using Narrow-Bore Packed NanoLC Columns and Ultrasensitive Mass Spectrometry	single-cell proteome;nanoPOTS	single cell proteome;single-cell proteome	Homo sapiens (human)	Cell culture	Cervix carcinoma	Orbitrap Eclipse	Shotgun proteomics		9	7	31913019	10.1021/acs.analchem.9b04631	2	38965444	10.1038/s41592-024-02343-1	quantms: a cloud-based pipeline for quantitative proteomics enables the reanalysis of public proteomics data.	https://www.ebi.ac.uk/pride/archive/projects/PXD016921
PXD019515	sandbox_draft	sandbox/PXD019515/PXD019515.sdrf.tsv	FAIMS single cellUltrasensitive single-cell proteomics workflow identifies >1000 protein groups per mammalian cell	single-cell proteomics;single-cell proteome;nanoPOTS	single cell proteome;single cell proteomics;single-cell proteome;single-cell proteomic;single-cell proteomics	Homo sapiens (human)	Brain; Hela cell		Orbitrap Eclipse	Shotgun proteomics		14	12			1	34163866	10.1039/d0sc03636f	Ultrasensitive single-cell proteomics workflow identifies >1000 protein groups per mammalian cell.	https://www.ebi.ac.uk/pride/archive/projects/PXD019515
PXD019958	sandbox_draft	sandbox/PXD019958/PXD019958.sdrf.tsv	Digital Microfluidic Isolation of Single Cells for -Omics	single-cell proteomics	single-cell proteomic	Homo sapiens (human)	Cell culture		Q Exactive HF-X	Shotgun proteomics		18	9	33177493	10.1038/s41467-020-19394-5	2	33177493	10.1038/s41467-020-19394-5	Digital microfluidic isolation of single cells for -Omics.	https://www.ebi.ac.uk/pride/archive/projects/PXD019958
PXD020586	sandbox_draft	sandbox/PXD020586/PXD020586.sdrf.tsv	Quantitative Single-Cell Proteomics as a Tool to Characterize Cellular Hierarchies	single-cell proteomics;single-cell mass spectrometry	single cell mass spectrometry;single cell proteomics;single-cell mass spectrometry;single-cell proteomic;single-cell proteomics	Homo sapiens (human)	Blood; Blood cell	Acute leukemia	Orbitrap Fusion; Orbitrap Exploris 480	Shotgun proteomics	TMT	297	289	34099695	10.1038/s41467-021-23667-y	1	34099695	10.1038/s41467-021-23667-y	Quantitative single-cell proteomics as a tool to characterize cellular hierarchies.	https://www.ebi.ac.uk/pride/archive/projects/PXD020586
PXD021882	sandbox_draft	sandbox/PXD021882/PXD021882.sdrf.tsv	Fully automated sample processing and analysis workflow for low-input proteome profiling	single-cell proteomics;nanoPOTS	single cell proteomics;single-cell proteomic;single-cell proteomics	Homo sapiens (human)	Blood; Cell culture		Orbitrap Exploris 480	Shotgun proteomics		56	37			2	41667442	10.1038/s41467-026-68981-5	Transfer learning in DeepLC improves LC retention time prediction across substantially different modifications and setups.	https://www.ebi.ac.uk/pride/archive/projects/PXD021882
PXD022791	sandbox_draft	sandbox/PXD022791/PXD022791.sdrf.tsv	FAIMS single cellUltrasensitive single-cell proteomics workflow identifies >1000 protein groups per mammalian cell	single-cell proteomics;single-cell proteome;nanoPOTS	single cell proteome;single cell proteomics;single-cell proteome;single-cell proteomic;single-cell proteomics	Homo sapiens (human)	Cell culture; Brain		Orbitrap Eclipse	Shotgun proteomics		27	24			0				https://www.ebi.ac.uk/pride/archive/projects/PXD022791
PXD023366	sandbox_draft	sandbox/PXD023366/PXD023366.sdrf.tsv	Single-cell quantitative proteomic analysis of oocyte maturation revealed high heterogeneities in human in vitro matured oocytes	single-cell proteomics	single cell proteomics;single-cell proteomic;single-cell proteomics	Homo sapiens (human)	Oocyte; Oocyte		Q Exactive HF	Shotgun proteomics		37	36	35809850	10.1016/j.mcpro.2022.100267	1	35809850	10.1016/j.mcpro.2022.100267	Single-Cell Quantitative Proteomic Analysis of Human Oocyte Maturation Revealed High Heterogeneity in In Vitro-Matured Oocytes.	https://www.ebi.ac.uk/pride/archive/projects/PXD023366
PXD023574	sandbox_draft	sandbox/PXD023574/PXD023574.sdrf.tsv	Comparative proteome signatures of trace samples by multiplexed Data-Independent Acquisition	single-cell proteomics	single cell proteomics;single-cell proteomic;single-cell proteomics	Saccharomyces cerevisiae (baker's yeast); Homo sapiens (human)			Orbitrap Exploris 480	SWATH MS; Shotgun proteomics	TMT	50	44	34793982	10.1016/j.mcpro.2021.100177	1	34793982	10.1016/j.mcpro.2021.100177	Comparative Proteome Signatures of Trace Samples by Multiplexed Data-Independent Acquisition.	https://www.ebi.ac.uk/pride/archive/projects/PXD023574
PXD023904	sandbox_draft	sandbox/PXD023904/PXD023904.sdrf.tsv	Deep Visual Proteomics defines single-cell identity and heterogeneity	deep visual proteomics	Deep Visual Proteomics	Homo sapiens (human)	Epithelial cell; Saliva; Skin; Cell culture	Cutaneous malignant melanoma 1	timsTOF Pro	Shotgun proteomics	Label free	9	3	35590073	10.1038/s41587-022-01302-5	3	42010243	10.1038/s41467-026-71692-6	A high-resolution spatial map of cilia-associated proteins in the human fallopian tube.	https://www.ebi.ac.uk/pride/archive/projects/PXD023904
PXD024017	sandbox_draft	sandbox/PXD024017/PXD024017.sdrf.tsv	Ultra-sensitive proteomics using second generation micro pillar array LC technology with Orbitrap ExplorisTM 480 and FAIMS	single-cell proteomics	single cell proteomics;single-cell proteomic;single-cell proteomics	Homo sapiens (human)	Cervical adenocarcinoma cell line		Orbitrap Exploris 480	Shotgun proteomics		131	45	34137250	10.1021/acs.analchem.1c00990	1	34137250	10.1021/acs.analchem.1c00990	Ultrasensitive NanoLC-MS of Subnanogram Protein Samples Using Second Generation Micropillar Array LC Technology with Orbitrap Exploris 480 and FAIMS PRO.	https://www.ebi.ac.uk/pride/archive/projects/PXD024017
PXD024043	sandbox_draft	sandbox/PXD024043/PXD024043.sdrf.tsv	Ultra-high sensitivity mass spectrometry quantifies single-cell proteome changes upon perturbation	single-cell proteome	single cell proteome;single-cell proteome	Homo sapiens (human)	Cell culture		timsTOF	All-ion fragmentation		14	8			5	38965444	10.1038/s41592-024-02343-1	quantms: a cloud-based pipeline for quantitative proteomics enables the reanalysis of public proteomics data.	https://www.ebi.ac.uk/pride/archive/projects/PXD024043
PXD025387	sandbox_draft	sandbox/PXD025387/PXD025387.sdrf.tsv	An automated workflow for label-free and multiplexed single cell proteomics sample preparation at unprecedented sensitivity.	single-cell proteomics;single-cell proteome;carrier proteome SCP;cellenONE;ProteoCHIP	single cell proteome;single cell proteomics;single-cell proteome;single-cell proteomic;single-cell proteomics	Homo sapiens (human)			Orbitrap Exploris 480	Shotgun proteomics	Label free; TMT	140	135			1	37839701	10.1016/j.mcpro.2023.100665	An Automated Nanowell-Array Workflow for Quantitative Multiplexed Single-Cell Proteomics Sample Preparation at High Sensitivity.	https://www.ebi.ac.uk/pride/archive/projects/PXD025387
PXD025481	sandbox_draft	sandbox/PXD025481/PXD025481.sdrf.tsv	Single cell chemical proteomics (SCCP) interrogates the timing and heterogeneity of cancer cell commitment to death	single-cell proteomics	single cell proteomics;single-cell proteomic;single-cell proteomics	Homo sapiens (human)	Epithelial cell	Lung adenocarcinoma	Orbitrap Fusion Lumos	Shotgun proteomics	TMT	346	325		10.1021/ACS.ANALCHEM.2C00413	1	35731985	10.1021/acs.analchem.2c00413	Single-Cell Chemical Proteomics (SCCP) Interrogates the Timing and Heterogeneity of Cancer Cell Commitment to Death.	https://www.ebi.ac.uk/pride/archive/projects/PXD025481
PXD025766	sandbox_draft	sandbox/PXD025766/PXD025766.sdrf.tsv	The use of linear ion traps in data independent acquisition methods benefits low-input proteomics	single-cell proteomics	single cell proteomics;single-cell proteomic;single-cell proteomics	Homo sapiens (human)			Orbitrap Fusion Lumos	SWATH MS		122	93			0				https://www.ebi.ac.uk/pride/archive/projects/PXD025766
PXD027135	sandbox_draft	sandbox/PXD027135/PXD027135.sdrf.tsv	Nanoparticle-aided nanoreactor for large-scale proteomics of few mammalian cells	single-cell proteomics	single cell proteomics;single-cell proteomic;single-cell proteomics	Homo sapiens (human)	Cell culture		Q Exactive HF	Shotgun proteomics		15	12	34297524	10.1021/acs.analchem.1c01704	1	34297524	10.1021/acs.analchem.1c01704	Nanoparticle-Aided Nanoreactor for Nanoproteomics.	https://www.ebi.ac.uk/pride/archive/projects/PXD027135
PXD027742	sandbox_draft	sandbox/PXD027742/PXD027742.sdrf.tsv	A deeper look at carrier proteome effects for single-cell proteomics	single-cell proteomics;carrier proteome SCP	single cell proteomics;single-cell proteomic;single-cell proteomics	Saccharomyces cerevisiae (baker's yeast); Escherichia coli; Homo sapiens (human)			Orbitrap Exploris 480	Shotgun proteomics	TMT	1202	240		10.1038/S42003-022-03095-4	2	39999392	10.1021/acs.jproteome.4c00869	Isobaric Labeling Update in MaxQuant.	https://www.ebi.ac.uk/pride/archive/projects/PXD027742
PXD027912	sandbox_draft	sandbox/PXD027912/PXD027912.sdrf.tsv	Quantitative accuracy and precision in multiplexed single-cell proteomics.	single-cell proteomics	single cell proteomics;single-cell proteomic;single-cell proteomics	Homo sapiens (human)			Orbitrap Exploris 480	SWATH MS; Shotgun proteomics	TMT	79	75	34967612	10.1021/acs.analchem.1c04174	1	34967612	10.1021/acs.analchem.1c04174	Quantitative Accuracy and Precision in Multiplexed Single-Cell Proteomics.	https://www.ebi.ac.uk/pride/archive/projects/PXD027912
PXD028991	sandbox_draft	sandbox/PXD028991/PXD028991.sdrf.tsv	New insights on the role of HCN in root hair elongation through single cell proteomics.	single-cell proteomics	single cell proteomics;single-cell proteomic;single-cell proteomics	Arabidopsis thaliana (mouse-ear cress)	Root; Plant cell		Q Exactive	Shotgun proteomics		28	18	38068690	10.3390/plants12234055	1	38068690	10.3390/plants12234055	New Insights on the Role of -Cyanoalanine Synthase CAS-C1 in Root Hair Elongation through Single-Cell Proteomics.	https://www.ebi.ac.uk/pride/archive/projects/PXD028991
PXD029320	sandbox_draft	sandbox/PXD029320/PXD029320.sdrf.tsv	Real-Time Search Assisted Acquisition on a Tribrid Mass Spectrometer Improves Coverage in Multiplexed Single-Cell Proteomics	single-cell proteomics	single cell proteomics;single-cell proteomic;single-cell proteomics	Homo sapiens (human)	Cell culture; Blood cell	Acute leukemia	Orbitrap Eclipse	Shotgun proteomics	TMT	249	97			1	35219906	10.1016/j.mcpro.2022.100219	Real-Time Search-Assisted Acquisition on a Tribrid Mass Spectrometer Improves Coverage in Multiplexed Single-Cell Proteomics.	https://www.ebi.ac.uk/pride/archive/projects/PXD029320
PXD029729	sandbox_draft	sandbox/PXD029729/PXD029729.sdrf.tsv	In-depth mass spectrometry-based proteomics of formalin-fixed, paraffin embedded tissues with a spatial resolution of 50200 m	single-cell proteomics;nanoPOTS	single cell proteomics;single-cell proteomic;single-cell proteomics	Mus musculus (mouse)	Liver		Orbitrap Exploris 480	Shotgun proteomics		53	48		10.1021/ACS.JPROTEOME.2C00409	1	35916235	10.1021/acs.jproteome.2c00409	In-Depth Mass Spectrometry-Based Proteomics of Formalin-Fixed, Paraffin-Embedded Tissues with a Spatial Resolution of 50-200 m.	https://www.ebi.ac.uk/pride/archive/projects/PXD029729
PXD030607	sandbox_draft	sandbox/PXD030607/PXD030607.sdrf.tsv	Capillary Electrophoresis Mass Spectrometry for Scalable Single-Cell Proteomics	single-cell proteomics	single cell proteomics;single-cell proteomic;single-cell proteomics	Mus musculus (mouse); Xenopus laevis (african clawed frog)	Embryo; Early embryonic cell; Brain		Orbitrap Fusion Lumos; Q Exactive	Shotgun proteomics		37	15		10.3389/FCHEM.2022.863979	0				https://www.ebi.ac.uk/pride/archive/projects/PXD030607
PXD031955	sandbox_draft	sandbox/PXD031955/PXD031955.sdrf.tsv	Capillary Electrophoresis Mass Spectrometry for Scalable Single-Cell Proteomics	single-cell proteomics	single cell proteomics;single-cell proteomic;single-cell proteomics	Mus musculus (mouse); Xenopus laevis (african clawed frog)	Hippocampal neuron; Embryo; Early embryonic cell; Brain		Orbitrap Fusion Lumos; Q Exactive	Shotgun proteomics	Spectrum counting	46	18			1	35464213	10.3389/fchem.2022.863979	Capillary Electrophoresis Mass Spectrometry for Scalable Single-Cell Proteomics.	https://www.ebi.ac.uk/pride/archive/projects/PXD031955
PXD034370	sandbox_draft	sandbox/PXD034370/PXD034370.sdrf.tsv	Microscopy-based functional single cell proteomic profiling of cells with abnormal DNA damage response dynamics	single-cell proteomics;single-cell proteome;SCoPE-MS	SCoPE-MS;single cell proteome;single cell proteomics;single-cell proteome;single-cell proteomic;single-cell proteomics	Homo sapiens (human)			Orbitrap Fusion Lumos	Shotgun proteomics	TMT	44	34			2	41667442	10.1038/s41467-026-68981-5	Transfer learning in DeepLC improves LC retention time prediction across substantially different modifications and setups.	https://www.ebi.ac.uk/pride/archive/projects/PXD034370
PXD035339	sandbox_draft	sandbox/PXD035339/PXD035339.sdrf.tsv	On-capillary cell lysis enables top-down proteomic analysis of single HeLa cells by CE-MS/MS	single-cell proteomics;single-cell proteome	single cell proteome;single cell proteomics;single-cell proteome;single-cell proteomic;single-cell proteomics	Homo sapiens (human)	Hela cell; Monocytic leukemia cell		Orbitrap Fusion Lumos	Top-down proteomics		47	23	36194750	10.1021/acs.analchem.2c03045	1	36194750	10.1021/acs.analchem.2c03045	On-capillary Cell Lysis Enables Top-down Proteomic Analysis of Single Mammalian Cells by CE-MS/MS.	https://www.ebi.ac.uk/pride/archive/projects/PXD035339
PXD037527	sandbox_draft	sandbox/PXD037527/PXD037527.sdrf.tsv	Wide-Window Acquisition Improves Proteome Coverage and Measurement  Throughput for Label-Free Single-Cell Proteomics	single-cell proteomics;nanoPOTS;cellenONE	single cell proteomics;single-cell proteomic;single-cell proteomics	Homo sapiens (human)			Orbitrap Exploris 480	Shotgun proteomics		348	331	37380610	10.1002/ANIE.202303415;10.1002/anie.202303415	4	40019391	10.1021/acs.jproteome.4c00854	MSConnect: Open-Source, End-to-End Platform for Automated Mass Spectrometry Data Management, Analysis, and Visualization.	https://www.ebi.ac.uk/pride/archive/projects/PXD037527
PXD037985	sandbox_draft	sandbox/PXD037985/PXD037985.sdrf.tsv	Wide Window Acquisition and AI-based data analysis to reach deep proteome coverage for a wide sample range, including single cell proteomic inputs  Co-immunoprecipitation samples	single-cell proteomics	single-cell proteomic	Mus musculus (mouse)	Embryonic stem cell; Cell culture		Orbitrap Exploris 480	Affinity purification coupled with mass spectrometry proteomics	Label free	51	18	38310095	10.1038/s41467-024-45391-z	1	38310095	10.1038/s41467-024-45391-z	Micropillar arrays, wide window acquisition and AI-based data analysis improve comprehensiveness in multiple proteomic applications.	https://www.ebi.ac.uk/pride/archive/projects/PXD037985
PXD038632	sandbox_draft	sandbox/PXD038632/PXD038632.sdrf.tsv	Robust dimethyl-based multiplex-DIA doubles single-cell proteome depth via a reference channel	single-cell proteomics;single-cell proteome;deep visual proteomics	Deep Visual Proteomics;single cell proteome;single cell proteomics;single-cell proteome;single-cell proteomic;single-cell proteomics	Homo sapiens (human)	Cell culture		Bruker Daltonics timsTOF series; timsTOF SCP; Orbitrap Exploris 480	Shotgun proteomics	Label free; MS1 intensity based label-free quantification method; Multiplexed quantification value; Dimethyl Labeling	34	15		10.15252/MSB.202211503	2	37602975	10.15252/msb.202211503	Robust dimethyl-based multiplex-DIA doubles single-cell proteome depth via a reference channel.	https://www.ebi.ac.uk/pride/archive/projects/PXD038632
PXD038699	sandbox_draft	sandbox/PXD038699/PXD038699.sdrf.tsv	Spatial single-cell mass spectrometry defines zonation of the hepatocyte proteome	single-cell proteomics;single-cell mass spectrometry;deep visual proteomics	Deep Visual Proteomics;single cell mass spectrometry;single cell proteomics;single-cell mass spectrometry;single-cell proteomic;single-cell proteomics	Mus musculus (mouse)	Liver; Hepatocyte		Bruker Daltonics timsTOF series; timsTOF SCP	SWATH MS	Dimethyl Labeling	9	1		10.1038/S41592-023-02007-6	1	37783884	10.1038/s41592-023-02007-6	Spatial single-cell mass spectrometry defines zonation of the hepatocyte proteome.	https://www.ebi.ac.uk/pride/archive/projects/PXD038699
PXD039066	sandbox_draft	sandbox/PXD039066/PXD039066.sdrf.tsv	Optimizing single cell proteomics on a trapped ion mobility spectrometry for label-free experiments	single-cell proteomics;cellenONE	single cell proteomics;single-cell proteomic;single-cell proteomics	Homo sapiens (human)	Blood; T cell; Primary cell		timsTOF SCP	Shotgun proteomics		23	1	37395315	10.1039/d3an00080j	0				https://www.ebi.ac.uk/pride/archive/projects/PXD039066
