accession	action	sdrf_path	title	evidence_terms	pride_queries	organisms	organism_parts	diseases	instruments	experiment_types	quantification_methods	file_count	draft_row_count	pride_pubmed_ids	pride_dois	europepmc_hit_count	europepmc_first_pmid	europepmc_first_doi	europepmc_first_title	pride_url
PXD054083	sandbox_draft	sandbox/PXD054083/PXD054083.sdrf.tsv	Global analysis of protein turnover dynamics in single cells	single-cell proteomics	single cell proteomics;single-cell proteomic;single-cell proteomics	Homo sapiens (human)	Cell culture		Orbitrap Astral	Bottom-up proteomics		201	186			0				https://www.ebi.ac.uk/pride/archive/projects/PXD054083
PXD054440	sandbox_draft	sandbox/PXD054440/PXD054440.sdrf.tsv	The proteomic landscape of proteotoxic stress in a fibrogenic liver disease	deep visual proteomics	Deep Visual Proteomics	Homo sapiens (human)	Liver; Hepatocyte	Alpha 1-antitrypsin deficiency	Orbitrap Astral	Data-independent acquisition; Bottom-up proteomics		8	1			1	40240610	10.1038/s41586-025-08885-4	Deep Visual Proteomics maps proteotoxicity in a genetic liver disease.	https://www.ebi.ac.uk/pride/archive/projects/PXD054440
PXD054445	sandbox_draft	sandbox/PXD054445/PXD054445.sdrf.tsv	Formaldehyde fixation helps preserving proteome state during single-cell proteomics sample processing and analysis	single-cell proteomics;cellenONE	single cell proteomics;single-cell proteomic;single-cell proteomics	Homo sapiens (human)	Cell culture		Orbitrap Astral	Bottom-up proteomics		161	142			1	39901769	10.1021/acs.jproteome.4c00656	Formaldehyde Fixation Helps Preserve the Proteome State during Single-Cell Proteomics Sample Processing and Analysis.	https://www.ebi.ac.uk/pride/archive/projects/PXD054445
PXD055869	sandbox_draft	sandbox/PXD055869/PXD055869.sdrf.tsv	Establishment of Salivary Tissue-Organoid Biorepository	single-cell proteomics;cellenONE	single cell proteomics;single-cell proteomic;single-cell proteomics	Homo sapiens (human)	Saliva		timsTOF SCP	Data-independent acquisition; Bottom-up proteomics		5	1	40399315	10.1038/s41536-025-00410-5	1	40399315	10.1038/s41536-025-00410-5	Establishment of salivary tissue-organoid biorepository: characterizing salivary gland stem/progenitor cells and novel differentiation marker PSMA/FOLH1.	https://www.ebi.ac.uk/pride/archive/projects/PXD055869
PXD055915	sandbox_draft	sandbox/PXD055915/PXD055915.sdrf.tsv	msSIM for single-cell proteomic analysis	single-cell proteomics	single cell proteomics;single-cell proteomic;single-cell proteomics	Homo sapiens (human)	Epithelial cell; Pancreas	Pancreatic cancer	Q Exactive HF	Data-dependent acquisition	Spectrum counting	277	238	40904101	10.1002/pmic.70037	1	40904101	10.1002/pmic.70037	SLB-msSIM: A Spectral Library-Based Multiplex Segmented SIM Platform for Single-Cell Proteomic Analysis.	https://www.ebi.ac.uk/pride/archive/projects/PXD055915
PXD056327	sandbox_draft	sandbox/PXD056327/PXD056327.sdrf.tsv	Formaldehyde fixation helps preserve the proteome state during single-cell proteomics sample processing and analysis	single-cell proteomics;cellenONE;ProteoCHIP	single cell proteomics;single-cell proteomic;single-cell proteomics	Homo sapiens (human)	Cell culture; Hela cell		Orbitrap Astral	Data-independent acquisition; Bottom-up proteomics; Data-dependent acquisition	Label free; TMT	143	138	39901769	10.1021/acs.jproteome.4c00656	1	39901769	10.1021/acs.jproteome.4c00656	Formaldehyde Fixation Helps Preserve the Proteome State during Single-Cell Proteomics Sample Processing and Analysis.	https://www.ebi.ac.uk/pride/archive/projects/PXD056327
PXD057118	sandbox_draft	sandbox/PXD057118/PXD057118.sdrf.tsv	Deciphering functional tumor-immune crosstalk through highly multiplexed imaging and deep visual proteomics	deep visual proteomics	Deep Visual Proteomics	Homo sapiens (human)	Colon; Tonsil	Colon cancer; Tonsil cancer	timsTOF SCP; Orbitrap Astral	Bottom-up proteomics	label-free quantification; Dimethyl Labeling	18	1			1	40536875	10.1016/j.xpro.2025.103901	Protocol for spatial proteomic profiling of tonsil cancer microenvironments using multiplexed imaging-powered deep visual proteomics.	https://www.ebi.ac.uk/pride/archive/projects/PXD057118
PXD057685	sandbox_draft	sandbox/PXD057685/PXD057685.sdrf.tsv	Electrophoresis-Correlative Framing of Ion Mobility Deepens Single-Cell Mass Spectrometry Proteomics	single-cell proteome;single-cell mass spectrometry	single cell mass spectrometry;single cell proteome;single cell proteomics;single-cell mass spectrometry;single-cell proteome;single-cell proteomic;single-cell proteomics	Homo sapiens (human); Xenopus laevis (african clawed frog)	Cell culture		timsTOF	Bottom-up proteomics; Data-dependent acquisition		9	2	39674510	10.1016/j.mcpro.2024.100892	1	39674510	10.1016/j.mcpro.2024.100892	Electrophoresis-Correlative Ion Mobility Deepens Single-Cell Proteomics in Capillary Electrophoresis Mass Spectrometry.	https://www.ebi.ac.uk/pride/archive/projects/PXD057685
PXD058457	sandbox_draft	sandbox/PXD058457/PXD058457.sdrf.tsv	High throughput single-cell proteomics of in-vivo cells	single-cell proteomics;cellenONE	single cell proteomics;single-cell proteomic;single-cell proteomics	Homo sapiens (human); Mus musculus (mouse)	Macrophage; Cell culture; Lung	Colon cancer	timsTOF SCP	Data-independent acquisition; Bottom-up proteomics		21	1		10.1016/J.MCPRO.2025.101018	1	40544993	10.1016/j.mcpro.2025.101018	High-Throughput Single-Cell Proteomics of In Vivo Cells.	https://www.ebi.ac.uk/pride/archive/projects/PXD058457
PXD058753	sandbox_draft	sandbox/PXD058753/PXD058753.sdrf.tsv	Global analysis of protein turnover dynamics in single cells	single-cell proteomics	single cell proteomics;single-cell proteomic;single-cell proteomics	Homo sapiens (human)	Cell culture; Fibroblast		Orbitrap Astral	Data-independent acquisition; Bottom-up proteomics	SILAC	385	384			0				https://www.ebi.ac.uk/pride/archive/projects/PXD058753
PXD059079	sandbox_draft	sandbox/PXD059079/PXD059079.sdrf.tsv	Single-Cell Proteomic and Transcriptomic Characterization of Drug-Resistant Prostate Cancer Cells Reveals Molecular Signatures Associated with Morphological Changes	single-cell proteomics	single cell proteomics;single-cell proteomic;single-cell proteomics	Homo sapiens (human)	Epithelial cell of prostate	Prostate adenocarcinoma	Orbitrap Ascend; timsTOF HT	Bottom-up proteomics	label-free quantification; Data-independent acquisition	13	6		10.1016/J.MCPRO.2025.100949	1	40090465	10.1016/j.mcpro.2025.100949	Single-Cell Proteomic Characterization of Drug-Resistant Prostate Cancer Cells Reveals Molecular Signatures Associated with Morphological Changes.	https://www.ebi.ac.uk/pride/archive/projects/PXD059079
PXD059683	sandbox_draft	sandbox/PXD059683/PXD059683.sdrf.tsv	SpLICE: A reference database enabling in depth proteome and PTM analysis of mouse immune cells	single-cell proteomics;single-cell proteome	single cell proteome;single-cell proteome;single-cell proteomic	Mus musculus (mouse)	T cell; Macrophage; Dendritic cell; B cell; Cell culture		Q Exactive HF	Bottom-up proteomics; Data-dependent acquisition	Label free	73	60			1	40210874	10.1038/s41597-025-04829-9	A reference database enabling in-depth proteome and PTM analysis of mouse immune cells.	https://www.ebi.ac.uk/pride/archive/projects/PXD059683
PXD061065	sandbox_draft	sandbox/PXD061065/PXD061065.sdrf.tsv	Single cell proteomics of human brain neutrophils from glioblastoma patients	single-cell proteomics;single-cell proteome;cellenONE	single cell proteome;single cell proteomics;single-cell proteome;single-cell proteomic;single-cell proteomics	Homo sapiens (human)	Neutrophil; Brain	Glioblastoma	Orbitrap Astral	Data-independent acquisition	Relative quantification	351	342			1	41397978	10.1038/s41467-025-67367-3	Single cell proteomic analysis defines discrete neutrophil functional states in human glioblastoma.	https://www.ebi.ac.uk/pride/archive/projects/PXD061065
PXD061710	sandbox_draft	sandbox/PXD061710/PXD061710.sdrf.tsv	Overcoming preservation challenges to enable single-cell proteomics of fixed cell and tissue samples with retained proteome integrity	single-cell proteomics;single-cell proteome;cellenONE;ProteoCHIP	single cell proteome;single cell proteomics;single-cell proteome;single-cell proteomic;single-cell proteomics	Homo sapiens (human); Mus musculus (mouse)	Epithelial cell; Pancreas; Cell culture	Cancer	timsTOF SCP	Data-independent acquisition; Bottom-up proteomics	label-free quantification	22	1			0				https://www.ebi.ac.uk/pride/archive/projects/PXD061710
PXD062231	sandbox_draft	sandbox/PXD062231/PXD062231.sdrf.tsv	Single-cell spatial proteomics maps human liver zonation patterns and their vulnerability to disruption in tissue architecture	single-cell proteomics;deep visual proteomics	Deep Visual Proteomics;single cell proteomics;single-cell proteomic;single-cell proteomics	Homo sapiens (human)	Liver; Hepatocyte	Liver disease; Disease free	Orbitrap Astral	Data-independent acquisition; Bottom-up proteomics	label-free quantification	812	792			1	41721135	10.1038/s42255-026-01459-2	Single-cell spatial proteomics maps human liver zonation patterns and their vulnerability to disruption in tissue architecture.	https://www.ebi.ac.uk/pride/archive/projects/PXD062231
PXD062702	sandbox_draft	sandbox/PXD062702/PXD062702.sdrf.tsv	Live Electrophoresis-Correlative AI Democratizes Single-cell Mass Spectrometry Proteomics	single-cell proteomics;single-cell proteome;single-cell mass spectrometry	single cell mass spectrometry;single cell proteome;single cell proteomics;single-cell mass spectrometry;single-cell proteome;single-cell proteomic;single-cell proteomics	Homo sapiens (human); Xenopus laevis (african clawed frog)	Embryo; Early embryonic cell		Orbitrap Fusion Lumos; Q Exactive	Bottom-up proteomics	Relative quantification	52	43		10.1002/ANIE.202510692	0				https://www.ebi.ac.uk/pride/archive/projects/PXD062702
PXD063539	sandbox_draft	sandbox/PXD063539/PXD063539.sdrf.tsv	Spatial Proteomic Profiling Reveals Increased Levels of Cholesterol Synthesis Proteins in Psoriasis Vulgaris	deep visual proteomics	Deep Visual Proteomics	Homo sapiens (human)	Epithelial cell; Neutrophil; Keratinocyte; B cell; Dendritic cell; Fibroblast; Melanocyte; Leukocyte; Skin; Macrophage; T cell; Monocyte; Erythrocyte	Psoriasis	timsTOF SCP	Data-independent acquisition; Bottom-up proteomics; Data-dependent acquisition; diaPASEF	Relative quantification	15	1		10.1016/J.JID.2025.05.002	0				https://www.ebi.ac.uk/pride/archive/projects/PXD063539
PXD063590	sandbox_draft	sandbox/PXD063590/PXD063590.sdrf.tsv	Single cell proteomic analysis of human prefrontal cortex in Alzheimer's Disease	single-cell proteomics;nPOP;cellenONE	single cell proteomics;single-cell proteomic;single-cell proteomics	Homo sapiens (human)	Brain		Orbitrap Exploris 480	Bottom-up proteomics	TMT	92	89			0				https://www.ebi.ac.uk/pride/archive/projects/PXD063590
PXD064049	sandbox_draft	sandbox/PXD064049/PXD064049.sdrf.tsv	Extrachromosomal DNA-driven oncogene dosage heterogeneity promotes rapid adaptation to therapy in MYCN-amplified cancers	deep visual proteomics	Deep Visual Proteomics	Homo sapiens (human)	Malignant cell; Neuroblastoma cell line	Neuroblastoma	timsTOF SCP	Data-independent acquisition; Bottom-up proteomics	label-free quantification; Data-independent acquisition	5	1			1	40773595	10.1158/2159-8290.cd-24-1738	Extrachromosomal DNA-Driven Oncogene Dosage Heterogeneity Promotes Rapid Adaptation to Therapy in MYCN-Amplified Cancers.	https://www.ebi.ac.uk/pride/archive/projects/PXD064049
PXD064499	sandbox_draft	sandbox/PXD064499/PXD064499.sdrf.tsv	Pro-regenerative fingerprints identified in a sub-population of adult mouse cardiomyocytes by integrative single-cell proteomics-Pilot dataset	single-cell proteomics	single cell proteomics;single-cell proteomic;single-cell proteomics	Mus musculus (mouse)	Cardiac muscle cell; Heart		Orbitrap Eclipse	Data-dependent acquisition	TMT	36	24		10.6019/PXD064499	0				https://www.ebi.ac.uk/pride/archive/projects/PXD064499
PXD064501	sandbox_draft	sandbox/PXD064501/PXD064501.sdrf.tsv	Pro-regenerative fingerprints identified in a sub-population of adult mouse cardiomyocytes by integrative single-cell proteomics_FACS	single-cell proteomics;single-cell proteome	single cell proteome;single cell proteomics;single-cell proteome;single-cell proteomic;single-cell proteomics	Mus musculus (mouse)	Cardiac muscle cell; Heart		Orbitrap Eclipse	Data-dependent acquisition	TMT	42	28		10.6019/PXD064501	0				https://www.ebi.ac.uk/pride/archive/projects/PXD064501
PXD064518	sandbox_draft	sandbox/PXD064518/PXD064518.sdrf.tsv	Pro-regenerative fingerprints identified in a sub-population of adult mouse cardiomyocytes by integrative single-cell proteomics-Analytical dataset	single-cell proteomics;single-cell proteome	single cell proteome;single cell proteomics;single-cell proteome;single-cell proteomic;single-cell proteomics	Mus musculus (mouse)	Cardiac muscle cell; Heart		Orbitrap Eclipse	Data-dependent acquisition	TMT	243	162		10.6019/PXD064518	0				https://www.ebi.ac.uk/pride/archive/projects/PXD064518
PXD064564	sandbox_draft	sandbox/PXD064564/PXD064564.sdrf.tsv	Challenging the Astral mass analyzer  up to 5300 proteins per single-cell at unseen quantitative accuracy to study cellular heterogeneity.	single-cell proteomics;cellenONE	single cell proteomics;single-cell proteomic;single-cell proteomics	Homo sapiens (human)	Epithelial cell	Lung cancer	Orbitrap Astral	Data-independent acquisition; Bottom-up proteomics	label-free quantification	186	30	39820751	10.1038/s41592-024-02559-1	0				https://www.ebi.ac.uk/pride/archive/projects/PXD064564
PXD066993	sandbox_draft	sandbox/PXD066993/PXD066993.sdrf.tsv	Spatial omics of acute myocardial infarction reveals a novel mode of immune cell infiltration	deep visual proteomics	Deep Visual Proteomics	Mus musculus (mouse)	Myeloid cell; Endocardial cell; Cardiac muscle myoblast; Endothelial cell; Fibroblast of cardiac tissue; Heart	Myocardial infarction	timsTOF SCP	Data-independent acquisition; Bottom-up proteomics	Relative quantification	5	1			1	41044418	10.1038/s44161-025-00717-y	Spatial multiomics of acute myocardial infarction reveals immune cell infiltration through the endocardium.	https://www.ebi.ac.uk/pride/archive/projects/PXD066993
PXD067019	sandbox_draft	sandbox/PXD067019/PXD067019.sdrf.tsv	Fine-Tuning of Label-Free Single-Cell Proteomics Workflows	single-cell proteomics	single cell proteomics;single-cell proteomic;single-cell proteomics	Homo sapiens (human)	Permanent cell line cell; Cell culture	Cervix carcinoma	timsTOF Ultra 2	Bottom-up proteomics	Relative quantification	406	1			0				https://www.ebi.ac.uk/pride/archive/projects/PXD067019
PXD067623	sandbox_draft	sandbox/PXD067623/PXD067623.sdrf.tsv	Impact of intermittent lead exposure on hominid brain evolution	single-cell proteomics	single cell proteomics;single-cell proteomic;single-cell proteomics	Homo sapiens (human)	Brain		Orbitrap Astral	Bottom-up proteomics		227	226	41091888	10.1126/sciadv.adr1524	1	41091888	10.1126/sciadv.adr1524	Impact of intermittent lead exposure on hominid brain evolution.	https://www.ebi.ac.uk/pride/archive/projects/PXD067623
PXD069039	sandbox_draft	sandbox/PXD069039/PXD069039.sdrf.tsv	Multiplexed quantitation of post-translational modified peptides in single cells using triggered MS/MS combined with super heavy tandem mass tags	single-cell proteomics	single cell proteomics;single-cell proteomic;single-cell proteomics	Homo sapiens (human)			Q Exactive	Bottom-up proteomics	TMT	48	39	41348131	10.1007/s00425-025-04891-y	2	41632302	10.1007/s00425-026-04941-z	Correction: With or without a Ca&lt;sup&gt;2+&lt;/sup&gt; signal?: a proteomics approach toward Ca&lt;sup&gt;2+&lt;/sup&gt;dependent and independent changes in response to oxidative stress in Arabidopsis thaliana.	https://www.ebi.ac.uk/pride/archive/projects/PXD069039
PXD069335	sandbox_draft	sandbox/PXD069335/PXD069335.sdrf.tsv	Low-resolution FAIMS for increased peptide coverage in low-load and single-cell proteomics	single-cell proteomics	single cell proteomics;single-cell proteomic;single-cell proteomics	Homo sapiens (human)	Epithelial cell	Lung carcinoma	Orbitrap Astral	Data-independent acquisition; Bottom-up proteomics		158	125		10.1038/S41598-026-45228-3	0				https://www.ebi.ac.uk/pride/archive/projects/PXD069335
PXD069842	sandbox_draft	sandbox/PXD069842/PXD069842.sdrf.tsv	Colonic spatial single-cell proteomics and murine models link mitochondrial dysfunction to dimeric IgA-secreting plasma cell deficiency in Crohn's disease	single-cell proteomics	single cell proteomics;single-cell proteomic;single-cell proteomics	Homo sapiens (human)	Blood plasma		timsTOF HT	Data-independent acquisition	Relative quantification	43	1	41680132	10.1038/s41467-026-69069-w	1	41680132	10.1038/s41467-026-69069-w	Colonic spatial single-cell proteomics and murine models link mitochondrial dysfunction to dimeric IgA-secreting plasma cell deficiency in Crohn's disease.	https://www.ebi.ac.uk/pride/archive/projects/PXD069842
PXD069898	sandbox_draft	sandbox/PXD069898/PXD069898.sdrf.tsv	Spectral Cruncher: A Visualization Tool Integrating Manual Curation, Ion-Intensity Prediction, and De Novo Tag Generation	single-cell proteomics;cellenONE	single cell proteomics;single-cell proteomic;single-cell proteomics	Homo sapiens (human); Mus musculus (mouse)			Orbitrap Astral	Data-dependent acquisition		21	14	41459773	10.1021/jasms.5c00301	1	41459773	10.1021/jasms.5c00301	Spectral Cruncher: A Visualization Tool Integrating Manual Curation, Ion-Intensity Prediction, and De Novo Tag Generation.	https://www.ebi.ac.uk/pride/archive/projects/PXD069898
PXD070049	sandbox_draft	sandbox/PXD070049/PXD070049.sdrf.tsv	LFQ Benchmark Dataset - Generation Beta: Assessing Modern Proteomics Instruments and Acquisition Workflows with High-Throughput LC Gradients	single-cell proteomics	single cell proteomics;single-cell proteomic;single-cell proteomics	Saccharomyces cerevisiae (baker's yeast); Escherichia coli; Homo sapiens (human)			timsTOF Ultra 2; ZenoTOF 7600+; Orbitrap Astral; ZenoTOF 8600; timsTOF Ultra	SWATH MS; All-ion fragmentation; Data-independent acquisition; Bottom-up proteomics; Data-dependent acquisition; diaPASEF	Relative quantification	2174	1049		10.64898/2026.01.29.702266	1			Carafe2 enables high quality in silico spectral library generation for timsTOF data-independent acquisition proteomics	https://www.ebi.ac.uk/pride/archive/projects/PXD070049
PXD070495	sandbox_draft	sandbox/PXD070495/PXD070495.sdrf.tsv	Deep visual proteomics uncovers nociceptor diversity and pain targets	deep visual proteomics	Deep Visual Proteomics	Mus musculus (mouse)	Pain receptor cell; Mechanoreceptor cell; Neuron; Electrically active cell		timsTOF SCP; timsTOF Ultra	Bottom-up proteomics	label-free quantification	11	3		10.1038/S41467-026-71418-8	2	41965357	10.1038/s41467-026-71418-8	Deep visual proteomics uncovers nociceptor diversity and pain targets.	https://www.ebi.ac.uk/pride/archive/projects/PXD070495
PXD071075	sandbox_draft	sandbox/PXD071075/PXD071075.sdrf.tsv	Single-cell proteomic landscape of the developing human brain	single-cell proteomics;single-cell proteome	single cell proteome;single-cell proteome;single-cell proteomic	Homo sapiens (human)	Brain		Orbitrap Eclipse	Data-independent acquisition; Bottom-up proteomics		2313	2310			0				https://www.ebi.ac.uk/pride/archive/projects/PXD071075
PXD071205	sandbox_draft	sandbox/PXD071205/PXD071205.sdrf.tsv	LFQ Benchmark Dataset - Generation Beta: Assessing Modern Proteomics Instruments and Acquisition Workflows with High-Throughput LC Gradients - Optimized Astral dataset	single-cell proteomics	single cell proteomics;single-cell proteomic;single-cell proteomics	Saccharomyces cerevisiae (baker's yeast); Escherichia coli; Homo sapiens (human)			Orbitrap Astral	All-ion fragmentation; Data-independent acquisition; Bottom-up proteomics		86	83			0				https://www.ebi.ac.uk/pride/archive/projects/PXD071205
PXD072559	sandbox_draft	sandbox/PXD072559/PXD072559.sdrf.tsv	AI-powered Deep Visual Proteomics unmasks critical molecular transitions in pancreatic cancer precursors	deep visual proteomics	Deep Visual Proteomics	Homo sapiens (human)	Panin cell; Epithelium of pancreatic duct; Malignant cell; Pancreatic duct; Pancreatic ductal adenocarcinoma cell	Pancreatic ductal adenocarcinoma	Orbitrap Astral	Bottom-up proteomics	label-free quantification	5	1			0				https://www.ebi.ac.uk/pride/archive/projects/PXD072559
PXD073018	sandbox_draft	sandbox/PXD073018/PXD073018.sdrf.tsv	Treatment of human oocytes with extracellular vesicles from follicular fluid during rescue in vitro maturation enhances maturation rates and modulates oocyte proteome and ultrastructure	single-cell proteomics	single-cell proteomic	Homo sapiens (human)	Follicular fluid; Oocyte; Oocyte		Orbitrap Fusion Lumos; timsTOF Pro	Bottom-up proteomics; Data-dependent acquisition; diaPASEF	Relative quantification	35	21	41924634	10.1093/hropen/hoag021	1	41924634	10.1093/hropen/hoag021	Treatment of human oocytes with extracellular vesicles from follicular fluid during rescue &lt;i&gt;in vitro&lt;/i&gt; maturation enhances maturation rates and modulates oocyte proteome and ultrastructure.	https://www.ebi.ac.uk/pride/archive/projects/PXD073018
PXD073405	sandbox_draft	sandbox/PXD073405/PXD073405.sdrf.tsv	Multiplexed quantitation of post-translational modified peptides in single cells using triggered MS/MS combined with super heavy tandem mass tags	single-cell proteomics	single cell proteomics;single-cell proteomic;single-cell proteomics	Homo sapiens (human)			Orbitrap Exploris 480	SRM/MRM; Bottom-up proteomics	TMT	57	46	41591392	10.1021/acs.jproteome.5c00972	0				https://www.ebi.ac.uk/pride/archive/projects/PXD073405
